#a_0,M_0,emax,emin,tcol
1.050,168,0.75415,0.00031,26.76500
1.050,162,1.15188,0.00007,-145.66057
1.050,166,0.85223,0.00023,198.93465
1.050,172,1.00666,0.00009,-61.04265
1.050,178,0.81960,0.00023,-18.97900
1.050,176,0.64874,0.00002,52.56363
1.050,180,0.48935,0.00045,38.10091
1.060,000,0.51818,0.00095,22.98519
1.060,002,0.28560,0.00095,111.71873
1.060,004,1.24742,0.00095,-30.61789
1.060,010,0.48285,0.00095,43.61683
1.060,008,0.49649,0.00095,84.08726
1.060,006,0.91303,0.00095,-192.21959
1.060,012,1.30988,0.00095,-70.66473
1.050,174,0.70789,0.00028,746.70453
1.060,014,0.54969,0.00095,24.77784
1.060,016,0.43138,0.00095,40.91418
1.060,018,0.57225,0.00094,30.46955
1.060,020,0.51988,0.00092,75.06797
1.060,024,0.52272,0.00088,40.37239
1.060,026,0.52555,0.00086,29.60070
1.060,022,0.76523,0.00090,96.31929
1.060,028,0.39197,0.00084,6.84523
1.060,034,0.65900,0.00079,8.69362
1.060,032,0.42411,0.00081,25.85413
1.060,030,0.46046,0.00082,47.60922
1.060,036,0.87867,0.00078,-96.59434
1.060,038,0.39403,0.00077,33.42551
1.060,040,1.05184,0.00077,-64.32638
1.060,046,0.61059,0.00071,16.50714
1.060,044,0.84940,0.00075,-42.71838
1.060,042,0.48331,0.00077,216.67388
1.060,052,0.64782,0.00061,45.15737
1.060,050,0.54001,0.00064,228.15354
1.060,048,0.92756,0.00067,-468.48778
1.060,054,1.08437,0.00059,-92.56084
1.060,056,1.29746,0.00057,-93.42516
1.060,058,0.86809,0.00056,-18.22930
1.060,064,0.77620,0.00057,0.33317
1.060,062,5.35547,0.00056,-24.85576
1.060,060,2.39249,0.00056,-87.08682
1.060,072,2.94675,0.00032,-55.10697
1.060,074,0.75262,0.00030,63.60241
1.060,068,0.34639,0.00043,131.15403
1.060,076,0.37731,0.00030,36.37068
1.060,070,0.50652,0.00037,183.44617
1.060,078,1.65221,0.00031,-85.93439
1.060,080,0.95910,0.00035,1.34314
1.060,082,1.87984,0.00039,-2.14770
1.060,084,1.17137,0.00032,-35.80381
1.060,066,0.51578,0.00050,482.97846
1.060,086,2.75915,0.00020,9.21942
1.060,090,1.21923,0.00006,-9.58610
1.060,088,0.46599,0.00008,194.26018
1.060,096,0.92042,0.00029,14.14643
1.060,094,1.35414,0.00024,-91.12031
1.060,092,0.42244,0.00015,262.84846
1.060,098,0.32651,0.00019,33.13797
1.060,100,0.38689,0.00018,54.50014
1.060,102,0.51696,0.00025,160.47696
1.060,108,0.54892,0.00041,21.40912
1.060,104,0.47905,0.00025,173.08168
1.060,112,2.20945,0.00056,-76.13876
1.060,114,0.53835,0.00064,34.80794
1.060,106,0.37450,0.00012,173.18337
1.060,116,0.47001,0.00072,58.22968
1.060,118,0.95161,0.00080,56.94178
1.060,110,1.02131,0.00048,-274.33002
1.060,120,1.29301,0.00069,-43.58270
1.060,122,18624.14305,0.00088,-11.60285
1.060,124,0.98828,0.00081,154.00556
1.060,128,1.02621,0.00059,-33.21085
1.060,134,0.81628,0.00055,2.28809
1.060,130,0.69830,0.00056,249.34308
1.060,126,0.81243,0.00067,689.35947
1.060,136,1.17947,0.00045,-214.11571
1.060,132,0.76624,0.00059,675.36159
1.060,140,1.76461,0.00043,-57.69993
1.060,144,0.44916,0.00080,167.46092
1.060,142,0.84080,0.00070,-228.52104
1.060,150,0.35683,0.00050,44.84010
1.060,152,2.22018,0.00034,125.19548
1.060,154,0.32482,0.00022,93.10383
1.060,156,0.63108,0.00021,57.67382
1.060,158,1.03135,0.00031,12.04810
1.060,148,1.19444,0.00065,-186.16935
1.060,162,3.15001,0.00029,-50.49726
1.060,164,0.44283,0.00019,39.23198
1.060,160,0.88239,0.00041,-182.42396
1.060,146,0.61538,0.00078,424.78610
1.060,138,9.35587,0.00011,713.50949
1.060,166,1.84843,0.00010,-11.31474
1.060,168,0.36189,0.00005,56.72156
1.060,170,2.20352,0.00009,-71.24094
1.060,172,2.09328,0.00016,-4.24303
1.060,174,0.79845,0.00019,-158.24919
1.060,176,0.56931,0.00022,357.71114
1.060,178,0.92102,0.00034,-100.05162
1.070,000,0.74599,0.00095,25.90684
1.060,180,0.36132,0.00038,53.18909
1.070,002,0.42917,0.00095,90.82163
1.070,004,0.85472,0.00095,52.06826
1.070,008,0.53376,0.00095,147.43041
1.070,014,0.52343,0.00095,66.39536
1.070,006,0.58006,0.00095,177.94735
1.070,010,0.50005,0.00095,149.96471
1.070,018,0.51184,0.00095,33.62467
1.070,016,0.66416,0.00095,80.92111
1.070,022,0.62402,0.00090,26.14890
1.070,020,0.72448,0.00092,103.72128
1.070,024,1.19544,0.00088,-28.39588
1.070,012,0.58177,0.00095,382.05438
1.070,026,0.69328,0.00086,9.91871
1.070,030,0.53687,0.00083,80.80859
1.070,028,0.42320,0.00084,145.01711
1.070,032,0.94452,0.00081,3.07867
1.070,034,2.47372,0.00080,-108.93499
1.070,036,5.50339,0.00079,-108.05841
1.070,040,0.51227,0.00077,53.53941
1.070,042,1.64370,0.00077,-157.73128
1.070,046,0.71292,0.00073,20.29250
1.070,052,106.19761,0.00062,-5.57824
1.070,050,1.45347,0.00065,-7.96891
1.070,048,0.73724,0.00069,154.96884
1.070,056,24.65774,0.00058,-56.18081
1.070,058,0.51811,0.00057,57.62796
1.070,044,2.74964,0.00077,-354.13833
1.070,038,0.87377,0.00078,-456.67163
1.070,064,1.12657,0.00058,0.29219
1.070,060,1.22112,0.00057,-134.35581
1.070,062,0.52292,0.00057,144.88288
1.070,066,0.40849,0.00052,20.49427
1.070,054,0.81170,0.00060,433.43901
1.070,070,4.20067,0.00039,-60.16527
1.070,072,0.51040,0.00034,167.95257
1.070,068,1.03498,0.00045,-477.92206
1.070,074,0.59210,0.00031,63.02060
1.070,076,0.27421,0.00030,2.88435
1.070,078,0.98903,0.00031,-10.62521
1.070,082,1.97685,0.00038,-67.33728
1.070,084,0.43385,0.00036,73.74508
1.070,086,0.49755,0.00024,61.40426
1.070,088,0.91580,0.00012,9.11403
1.070,090,4.91585,0.00005,-38.62265
1.070,096,1.24278,0.00030,-3.53288
1.070,098,0.96479,0.00021,4.48758
1.070,094,2.21231,0.00021,-36.28510
1.070,100,0.52128,0.00017,2.78640
1.070,092,0.45378,0.00012,57.16590
1.070,102,0.45804,0.00022,29.67420
1.070,080,0.75306,0.00034,403.61714
1.070,104,1.33265,0.00030,-114.48667
1.070,106,0.45354,0.00007,121.46966
1.070,108,8.97065,0.00028,-38.33045
1.070,112,0.41652,0.00052,22.22751
1.070,110,0.60111,0.00044,460.83933
1.070,114,1.01068,0.00061,25.60676
1.070,116,1.22297,0.00069,-59.36838
1.070,118,0.96806,0.00077,30.15390
1.070,122,1.40689,0.00087,-35.40852
1.070,126,1.25652,0.00058,-10.62521
1.070,120,0.99169,0.00085,123.85434
1.070,124,3.21768,0.00071,-208.30729
1.070,128,0.95414,0.00048,105.11859
1.070,138,0.96484,0.00033,11.15640
1.070,136,0.43368,0.00041,36.27800
1.070,134,0.42363,0.00046,67.70756
1.070,140,0.56147,0.00035,47.21300
1.070,130,0.65385,0.00042,165.84145
1.070,142,0.93167,0.00025,55.10874
1.070,144,3.06387,0.00022,2.20473
1.070,132,0.55597,0.00042,389.50386
1.070,146,0.37963,0.00048,47.79175
1.070,148,0.75689,0.00058,72.23411
1.070,150,3.55644,0.00068,182.70053
1.070,152,1.28638,0.00059,-64.94661
1.070,154,0.94392,0.00044,3.39071
1.070,158,0.87811,0.00026,30.15264
1.070,156,1.00349,0.00032,-466.49996
1.070,162,0.50752,0.00033,34.99628
1.070,164,0.52849,0.00042,60.94834
1.070,168,0.92729,0.00035,-7.96891
1.070,170,0.78229,0.00025,39.54111
1.070,176,0.69553,0.00006,46.02236
1.070,178,0.56414,0.00008,126.69903
1.070,172,0.49345,0.00017,193.87936
1.080,000,0.67618,0.00095,29.78560
1.070,174,0.75525,0.00010,147.66863
1.070,180,0.72254,0.00006,180.43817
1.080,006,0.44553,0.00095,25.72482
1.070,166,0.99792,0.00045,-374.85750
1.070,160,0.97625,0.00027,-781.27188
1.080,002,0.99967,0.00095,-329.34988
1.080,004,0.95218,0.00095,-336.89204
1.080,008,0.85449,0.00095,-149.68490
1.080,010,0.95311,0.00095,-90.72139
1.080,012,2.30512,0.00095,-179.01851
1.080,014,20.30999,0.00095,-146.12931
1.080,016,29.85280,0.00095,-2.26265
1.080,018,0.73216,0.00095,1.94074
1.080,020,0.59826,0.00093,19.41378
1.080,024,0.87124,0.00089,29.95977
1.080,022,0.89116,0.00091,173.25984
1.080,026,1.91927,0.00087,-168.05544
1.080,028,0.54616,0.00085,53.84789
1.080,030,0.39248,0.00083,60.22513
